Filename:, Arrigetch_Peaks_Environmental_Data.csv,,,,,,,,,,,
Data_Last_Modified:, 10/26/2016,,,,,,,,,,,
Data_Set_Name:, Pre-ABoVE: Arctic Vegetation Plots at Arrigetch Peaks, Alaska, 1978-1981,,,,,,,,,,,
Documentation_Link:, http://dx.doi.org/10.3334/ORNLDAAC/1358,,,,,,,,,,,
Missing Value Code:, -9999 for numeric columns.  As described for character columns.,,,,,,,,,,,
,,,,,,,,,,,
FIELD_RELEVE_NUMBER,TURBOVEG_ACCESSION_NUMBER,PLANT_COMMUNITY_NAME,ELEVATION,ASPECT,SLOPE,COVER_LITTER_LAYER,COVER_OPEN_WATER,COVER_ROCK,COVER_CRUST,COVER_BARE_SOIL,REMARKS
,,,m,deg,deg,%,%,%,%,%,
370,10925,Ass. Umbilicarietum pensylvanicae-carolinianae,1090,45,-9999,0,0,0,0,0,"Crustose and foliose lichen dominated vegetation on granitic rocks. This association occurs on talus slopes at low to moderate elevations in cirques and along and below granitic peaks and ridges where the talus is stable. Comprised primarily of pioneering foliose and crustose lichens, this community lacks vascular plants (Cooper 1986)."
24,10926,Ass. Umbilicarietum pensylvanicae-carolinianae,920,315,-9999,0,0,0,0,0,"Crustose and foliose lichen dominated vegetation on granitic rocks. This association occurs on talus slopes at low to moderate elevations in cirques and along and below granitic peaks and ridges where the talus is stable. Comprised primarily of pioneering foliose and crustose lichens, this community lacks vascular plants (Cooper 1986)."
438,10927,Ass. Umbilicarietum pensylvanicae-carolinianae,940,270,-9999,0,0,0,0,0,"Crustose and foliose lichen dominated vegetation on granitic rocks. This association occurs on talus slopes at low to moderate elevations in cirques and along and below granitic peaks and ridges where the talus is stable. Comprised primarily of pioneering foliose and crustose lichens, this community lacks vascular plants (Cooper 1986)."
439,10928,Ass. Umbilicarietum pensylvanicae-carolinianae,950,225,-9999,0,0,0,0,0,"Umbilicaria arctica = in original Umbilicaria arctica diomedensis. Crustose and foliose lichen dominated vegetation on granitic rocks. This association occurs on talus slopes at low to moderate elevations in cirques and along and below granitic peaks and ridges where the talus is stable. Comprised primarily of pioneering foliose and crustose lichens, this community lacks vascular plants (Cooper 1986)."
440,10929,Ass. Umbilicarietum pensylvanicae-carolinianae,935,270,-9999,0,0,0,0,0,"Crustose and foliose lichen dominated vegetation on granitic rocks. This association occurs on talus slopes at low to moderate elevations in cirques and along and below granitic peaks and ridges where the talus is stable. Comprised primarily of pioneering foliose and crustose lichens, this community lacks vascular plants (Cooper 1986)."
441,10930,Ass. Umbilicarietum pensylvanicae-carolinianae,940,270,-9999,0,0,0,0,0,"Crustose and foliose lichen dominated vegetation on granitic rocks. This association occurs on talus slopes at low to moderate elevations in cirques and along and below granitic peaks and ridges where the talus is stable. Comprised primarily of pioneering foliose and crustose lichens, this community lacks vascular plants (Cooper 1986)."
442,10931,Ass. Umbilicarietum pensylvanicae-carolinianae,940,225,-9999,0,0,0,0,0,"Crustose and foliose lichen dominated vegetation on granitic rocks. This association occurs on talus slopes at low to moderate elevations in cirques and along and below granitic peaks and ridges where the talus is stable. Comprised primarily of pioneering foliose and crustose lichens, this community lacks vascular plants (Cooper 1986)."
455,10932,Ass. Cetrario hepatizonti-Pseudophebetum minusculae,1920,-9999,0,0,0,0,0,0,Crustose and foliose lichen dominated vegetation on granitic rocks. This association dominates granitic talus at the highest elevations surveyed and is generally floristically impoverished due to winter wind blasting (Cooper 1986).
456,10933,Ass. Cetrario hepatizonti-Pseudophebetum minusculae,1900,-9999,0,0,0,0,0,0,Crustose and foliose lichen dominated vegetation on granitic rocks. This association dominates granitic talus at the highest elevations surveyed and is generally floristically impoverished due to winter wind blasting (Cooper 1986).
