iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
AFG,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2,4035921.3042428335,tonnes,annual,2022-10-10 17:13:05.115568,2022-10-24 16:24:04.711642
AFG,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_100yr,4035921.3042428335,tonnes,annual,2022-10-10 17:13:05.115599,2022-10-24 16:24:04.711642
AFG,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_20yr,4035921.3042428335,tonnes,annual,2022-10-10 17:13:05.115604,2022-10-24 16:24:04.711642
AGO,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2,-134826647.890294,tonnes,annual,2022-10-10 17:13:05.115709,2022-10-24 16:24:04.711642
AGO,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_100yr,-134826647.890294,tonnes,annual,2022-10-10 17:13:05.115727,2022-10-24 16:24:04.711642
AGO,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_20yr,-134826647.890294,tonnes,annual,2022-10-10 17:13:05.115732,2022-10-24 16:24:04.711642
AIA,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2,-6511.9492263794045,tonnes,annual,2022-10-10 17:13:05.115815,2022-10-24 16:24:04.711642
AIA,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_100yr,-6511.9492263794045,tonnes,annual,2022-10-10 17:13:05.115832,2022-10-24 16:24:04.711642
AIA,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_20yr,-6511.9492263794045,tonnes,annual,2022-10-10 17:13:05.115837,2022-10-24 16:24:04.711642
ALA,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2,-874.8839738667025,tonnes,annual,2022-10-10 17:13:05.115927,2022-10-24 16:24:04.711642
ALA,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_100yr,-874.8839738667025,tonnes,annual,2022-10-10 17:13:05.115945,2022-10-24 16:24:04.711642
ALA,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_20yr,-874.8839738667025,tonnes,annual,2022-10-10 17:13:05.11595,2022-10-24 16:24:04.711642
ALB,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2,-178472.36624025696,tonnes,annual,2022-10-10 17:13:05.116022,2022-10-24 16:24:04.711642
ALB,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_100yr,-178472.36624025696,tonnes,annual,2022-10-10 17:13:05.116046,2022-10-24 16:24:04.711642
ALB,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_20yr,-178472.36624025696,tonnes,annual,2022-10-10 17:13:05.116051,2022-10-24 16:24:04.711642
AND,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2,-3718.573973685135,tonnes,annual,2022-10-10 17:13:05.116126,2022-10-24 16:24:04.711642
AND,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_100yr,-3718.573973685135,tonnes,annual,2022-10-10 17:13:05.116143,2022-10-24 16:24:04.711642
AND,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_20yr,-3718.573973685135,tonnes,annual,2022-10-10 17:13:05.116148,2022-10-24 16:24:04.711642
ARE,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2,16148.320341230261,tonnes,annual,2022-10-10 17:13:05.116219,2022-10-24 16:24:04.711642
ARE,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_100yr,16148.320341230261,tonnes,annual,2022-10-10 17:13:05.116235,2022-10-24 16:24:04.711642
ARE,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_20yr,16148.320341230261,tonnes,annual,2022-10-10 17:13:05.11624,2022-10-24 16:24:04.711642
ARG,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2,-114416874.16375111,tonnes,annual,2022-10-10 17:13:05.116314,2022-10-24 16:24:04.711642
ARG,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_100yr,-114416874.16375111,tonnes,annual,2022-10-10 17:13:05.116334,2022-10-24 16:24:04.711642
ARG,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_20yr,-114416874.16375111,tonnes,annual,2022-10-10 17:13:05.116339,2022-10-24 16:24:04.711642
ARM,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2,3686647.2953791176,tonnes,annual,2022-10-10 17:13:05.116412,2022-10-24 16:24:04.711642
ARM,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_100yr,3686647.2953791176,tonnes,annual,2022-10-10 17:13:05.116429,2022-10-24 16:24:04.711642
ARM,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_20yr,3686647.2953791176,tonnes,annual,2022-10-10 17:13:05.116434,2022-10-24 16:24:04.711642
ATF,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2,-4201.4329185485785,tonnes,annual,2022-10-10 17:13:05.116608,2022-10-24 16:24:04.711642
ATF,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_100yr,-4201.4329185485785,tonnes,annual,2022-10-10 17:13:05.116626,2022-10-24 16:24:04.711642
ATF,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_20yr,-4201.4329185485785,tonnes,annual,2022-10-10 17:13:05.116632,2022-10-24 16:24:04.711642
ATG,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2,-2996.5636129376526,tonnes,annual,2022-10-10 17:13:05.116704,2022-10-24 16:24:04.711642
ATG,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_100yr,-2996.5636129376526,tonnes,annual,2022-10-10 17:13:05.116723,2022-10-24 16:24:04.711642
ATG,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_20yr,-2996.5636129376526,tonnes,annual,2022-10-10 17:13:05.116729,2022-10-24 16:24:04.711642
AUS,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2,-313139156.8059753,tonnes,annual,2022-10-10 17:13:05.116802,2022-10-24 16:24:04.711642
AUS,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_100yr,-313139156.8059753,tonnes,annual,2022-10-10 17:13:05.116819,2022-10-24 16:24:04.711642
AUS,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_20yr,-313139156.8059753,tonnes,annual,2022-10-10 17:13:05.116824,2022-10-24 16:24:04.711642
AUT,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2,-2740236.565609706,tonnes,annual,2022-10-10 17:13:05.116903,2022-10-24 16:24:04.711642
AUT,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_100yr,-2740236.565609706,tonnes,annual,2022-10-10 17:13:05.116922,2022-10-24 16:24:04.711642
AUT,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_20yr,-2740236.565609706,tonnes,annual,2022-10-10 17:13:05.116928,2022-10-24 16:24:04.711642
AZE,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2,2487835.419103405,tonnes,annual,2022-10-10 17:13:05.117008,2022-10-24 16:24:04.711642
AZE,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_100yr,2487835.419103405,tonnes,annual,2022-10-10 17:13:05.117027,2022-10-24 16:24:04.711642
AZE,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_20yr,2487835.419103405,tonnes,annual,2022-10-10 17:13:05.117032,2022-10-24 16:24:04.711642
BDI,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2,-1205491.458510167,tonnes,annual,2022-10-10 17:13:05.117105,2022-10-24 16:24:04.711642
BDI,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_100yr,-1205491.458510167,tonnes,annual,2022-10-10 17:13:05.117121,2022-10-24 16:24:04.711642
BDI,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_20yr,-1205491.458510167,tonnes,annual,2022-10-10 17:13:05.117128,2022-10-24 16:24:04.711642
BEL,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2,-452277.41618948866,tonnes,annual,2022-10-10 17:13:05.1172,2022-10-24 16:24:04.711642
