year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,djf,mam,jja,son,ann
1756,-2.6,-0.8,-0.6,0.7,5.2,15.2,16.4,12.8,10.7,5.6,-1.7,-2.4,-999,1.8,14.8,4.9,4.9
1757,-6.7,-1.9,-1.8,6.9,9.1,16,20.3,15.2,10.9,3.1,2.4,-2.7,-3.7,4.7,17.2,5.4,5.9
1758,-5.8,-5.3,-3.2,2,9.9,14.8,17,16.4,9.1,3.7,2.5,-4.7,-4.6,2.9,16.1,5.1,4.8
1759,-0.9,0.5,0.5,4.4,7.2,16.5,18.5,17.2,10.6,5.9,0.3,-5.2,-1.8,4.1,17.4,5.6,6.3
1760,-10.4,-3.1,-2.4,3.3,9.8,15.2,17.6,16,13.9,5,0.5,-2.3,-6.3,3.6,16.3,6.4,5.3
1761,-2.3,-3.7,1.8,4.8,10.7,17.9,17.5,17,12.8,3.6,1.7,-3.3,-2.8,5.8,17.5,6,6.6
1762,-0.5,-2.9,-3.8,5.7,10.5,18,16.4,13.8,10.4,1.2,3.1,-2.1,-2.2,4.1,16.1,4.9,5.9
1763,-5.9,-4.1,-4.3,2.2,9.9,15.4,18.8,16.2,9.6,5.3,-0.4,-2,-4,2.6,16.8,4.8,5.1
1764,-2.4,0.6,0.5,4.5,10.1,13.6,20.6,15.4,10.6,5.7,-0.2,-3.2,-1.3,5,16.6,5.4,6.3
1765,-3.6,-3.8,0,4.7,8.2,14.6,16.1,16.2,10.4,6.2,3.4,-2.5,-3.5,4.3,15.7,6.7,5.9
1766,-5.4,-4.9,0.5,6.9,10,16.5,19,16.3,12.4,6.7,4.5,-3.9,-4.2,5.8,17.3,7.8,6.6
1767,-11.1,-6.5,-1.1,1.7,8.8,14.1,16.1,18.4,14.4,6.7,4.2,-2.9,-7.2,3.1,16.2,8.4,5.3
1768,-5,-4.1,-4.4,3.4,8.3,14.2,17,15.9,9.9,5,1.5,1.5,-4,2.4,15.7,5.5,5.3
1769,-1.5,-2.6,-0.5,3.8,8.6,15.3,16.9,14.8,11.3,2.7,-0.6,-3.4,-0.8,4,15.7,4.5,5.4
1770,-4.9,-2.2,-8.3,3,9.5,14.8,17.3,17.7,13.6,9.9,0,-1.7,-3.5,1.4,16.6,7.9,5.8
1771,-7.5,-8.3,-6.9,1.7,10,16.7,17.2,14.5,11.5,7.1,0.9,0.1,-5.8,1.6,16.1,6.5,4.8
1772,-4.1,-13.1,-6,2.2,6.6,14.7,18,16.2,11.4,9.6,5.5,0.7,-5.5,0.9,16.3,8.8,5.2
1773,-2.9,-2.5,0,5.9,11.7,14.8,19.2,18.4,13.6,8.6,4.3,-1.6,-1.5,5.9,17.5,8.8,7.5
1774,-11.7,-3.6,-1.5,4.2,11.6,18.2,19.1,17.1,12.1,6.9,-4.9,-3.7,-5.7,4.8,18.1,4.7,5.4
1775,-4.5,-1.7,0.6,4.4,10.8,17.4,20.3,19.3,15.7,9.9,0.6,0,-3.3,5.2,19,8.8,7.8
1776,-8.8,-1.4,-1,3.2,7.8,17.2,19.9,17.3,12.1,7.6,3.1,-0.5,-3.4,3.3,18.1,7.6,6.4
1777,-5.5,-5.9,-3.3,2.8,11,14.8,15.9,16.2,11.1,5.8,2.8,-1.1,-3.9,3.5,15.6,6.6,5.5
1778,-5.1,-3.2,-2.2,5.1,10.1,15.2,18.9,16.3,11.6,1.6,1.3,-0.6,-3.1,4.3,16.8,4.8,5.8
1779,-2,2,3.7,6.4,10.9,14.4,17.5,20,13.7,10.1,2.1,-4.4,-0.3,7,17.3,8.6,7.9
1780,-6,-4.3,2.1,-0.3,8.9,14.4,19.2,17.7,11.9,8.2,-0.9,-2.4,-4.9,3.6,17.1,6.4,5.8
1781,-5.5,-4.3,0.7,4.8,8.3,16.2,18.1,20.1,15.6,6.5,3.3,-4.5,-4,4.6,18.2,8.4,6.7
1782,-2,-4.9,-4.3,1.7,7.5,14.3,15.8,15.2,12.4,4.9,-0.2,-2.1,-3.8,1.6,15.1,5.7,4.9
1783,-6.5,-2.2,-2.5,6.1,10.9,17.6,21.2,17.1,14.6,10,0.4,-3.3,-3.7,4.8,18.6,8.3,7
1784,-7.5,-4.3,-8.3,3.2,8.8,13.6,16.5,15.4,11,5.9,3.3,-4.5,-5.1,1.2,15.2,6.7,4.4
1785,-4.5,-6,-6,3,7.1,14.6,17.5,15.5,10,5.2,1.9,-4,-4.9,1.3,15.9,5.7,4.6
1786,-6.2,-4.6,-6.3,2.9,7.7,14.7,16.7,16.2,11.2,5.6,-3.3,-2.4,-5,1.4,15.9,4.5,4.4
1787,-2.8,-1.2,0.7,3.2,9.2,14.5,15.9,14.2,10.7,8.8,-0.6,-4.7,-2.1,4.4,14.9,6.3,5.7
1788,-3.9,-7.7,-6.2,3.9,9.1,16.1,19.7,15.4,13.6,4.2,1.2,-10.4,-5.4,2.2,17.1,6.3,4.6
1789,-8.2,-4.4,-8.7,2.3,11.1,17.7,20.9,19.9,15,10.4,3.5,3.3,-7.8,1.5,19.5,9.6,7
1790,0,1.5,2.3,0.1,10.2,13.5,14.6,15.2,11.2,6,1.4,-1.1,1.6,4.2,14.4,6.2,6.3
1791,1.8,0.4,2.6,6.4,8.5,14.6,18.8,17.6,11.3,6.3,3.1,-1.3,0.4,5.8,17,6.9,7.6
1792,-5,-5,-2.9,5,8.9,14.9,19.4,15.4,12.1,5.4,3.3,-1.3,-3.8,3.7,16.6,6.9,5.9
1793,-2.4,-0.7,-0.5,3.5,10.3,14.4,18.6,16.8,11,8.2,1.1,-3.6,-1.5,4.5,16.6,6.8,6.4
1794,-0.1,-1.7,3.1,6.8,11.4,16.5,18.8,15.7,11,8.5,2.7,-0.8,-1.8,7.1,17,7.4,7.7
1795,-7.2,-7.8,-5.4,4.8,7.8,14.5,16.8,15.8,13.1,7.9,1.1,-3.9,-5.2,2.4,15.7,7.4,4.9
1796,2.4,-1.9,-2,4.6,9,15.5,17.3,16.9,11.6,7.5,0.6,-5.5,-1.1,3.9,16.6,6.6,6.4
1797,-2.5,2.4,0.8,3.4,8.9,14.6,17.9,16.6,14,6.8,0.7,-0.7,-2,4.4,16.4,7.2,6.9
1798,-4.1,-2.3,-1.8,4.9,13.1,16.7,19.4,18.1,11.7,8.7,2,-2.4,-2.4,5.4,18.1,7.5,7.1
1799,-2.4,-12.7,-4.1,2.1,6.1,14,16.2,14.4,10.2,6.8,4.3,-5.4,-5.6,1.4,14.9,7.1,4.2
1800,-6.2,-7,-6.2,5.2,9.2,11.7,15.3,15.9,10.9,7.4,3.6,0.3,-6.2,2.7,14.3,7.3,5.1
1801,-4.4,-4.4,0,5.4,12.1,13.7,18.4,13.5,11.1,7,2.4,-3.8,-2.8,5.8,15.2,6.8,6
1802,-7.6,-2.1,2.3,5.8,7.3,13,14.9,16.7,10.7,8.8,0.1,-2.7,-4.6,5.1,14.9,6.6,5.6
1803,-9.9,-6.7,-1,7.7,9.6,13.9,18,17.4,10.4,4.9,-0.5,-6.6,-6.4,5.4,16.5,4.9,4.8
1804,-4.5,-8.1,-4.9,2.2,10,14.6,19.4,16.5,13.6,7.8,-1.3,-7.7,-6.4,2.4,16.9,6.7,4.8
1805,-5.8,-8.1,-2.4,1.8,6.4,11.7,17.6,16.3,12.5,2.4,-0.1,-3.5,-7.2,1.9,15.3,4.9,4.2
1806,-2.6,-4.2,-3.8,0.9,9.1,11.4,15.4,16.7,14,6.2,1.5,0.4,-3.4,2.1,14.5,7.2,5.5
1807,-4.1,-2.2,-2.1,0.8,8.1,14,18.5,19.2,10.2,4.8,1.4,-1.4,-2,2.3,17.3,5.5,5.6
1808,-2.1,-6.8,-4,0.4,10.4,15.2,17.6,17.3,13.1,8.5,1,-5.8,-3.4,2.3,16.7,7.6,5.4
1809,-12.1,-8.1,-4.3,-0.3,11.3,14.1,17.5,18.2,12.9,6.1,-0.3,1.9,-8.7,2.3,16.7,6.2,4.8
1810,-2.1,-3.8,-4.5,0.3,7.1,13.7,17.9,17.2,13,5.3,0.6,-2.9,-1.3,1,16.3,6.3,5.2
1811,-4.1,-3.6,2.2,2.3,12.5,17.3,20,16.1,11.7,5.2,1.6,-1.2,-3.5,5.7,17.8,6.2,6.7
1812,-4.3,-2.3,-4.9,-1.3,6.3,13.7,14.4,16.5,9.1,8.4,0.1,-6.6,-2.6,0,14.9,5.9,4.1
1813,-3.8,-0.8,0.4,4.2,7.7,12.4,17.2,15.8,12.7,3.7,2.8,-1.8,-3.8,4.1,15.2,6.4,5.9
1814,-14.3,-8.6,-2.7,5.3,7,12,19.2,16.6,10.6,5.8,3.2,-1.5,-8.2,3.1,16,6.5,4.4
1815,-3.6,-2.4,-0.1,5.4,8.7,11.9,15.7,16.5,11.2,7.5,2.4,-2.9,-2.5,4.6,14.7,7,5.9
1816,-3.3,-7.7,-3.2,2.8,6,15.3,18.6,14.7,11.7,5.4,0.5,-1.1,-4.6,1.9,16.2,5.9,5
1817,0.7,-0.4,-2.4,2.5,10.8,14.3,17.4,15.2,12.5,4.6,1.5,-7.9,-0.3,3.6,15.6,6.2,5.8
1818,-3,-2.4,0.5,0.9,8.2,15.2,20.8,14.4,12.1,8.1,3.6,2,-4.5,3.2,16.8,7.9,6.7
1819,1.2,-1.2,0,3.7,10.1,17,20.3,19.7,14,5.4,-1.2,-4.8,0.7,4.6,19,6.1,7.1
1820,-9.3,-3.5,-2.5,4.2,9.5,14,16.1,15.4,11.6,6.6,0.4,-5.1,-5.9,3.7,15.2,6.2,4.8
1821,-4.8,-3.6,-3.6,4.9,8.8,11,14.3,14.3,12.3,9.8,2.6,1.3,-4.5,3.4,13.2,8.3,5.7
1822,-2.2,2.2,4.1,5.8,11.7,14.7,16.3,16.1,11.1,8,4.6,-0.3,0.4,7.2,15.7,7.9,7.7
1823,-6.4,-5.5,-0.3,1.6,8.2,15.8,16.1,16.6,11.2,8.6,2.7,0.6,-4,3.2,16.2,7.5,5.8
1824,0.9,-0.3,-0.8,4.9,8.8,14.4,16.7,16.1,14.7,5.2,1.6,-1.4,0.4,4.3,15.7,7.1,6.7
1825,-0.6,-2.7,-0.5,3.3,8.5,14.6,16.1,15.7,11.4,7.7,2.1,0.1,-1.5,3.8,15.5,7.1,6.4
1826,-5.6,0.2,0.9,2.8,10.2,17.6,21.1,18.4,12.2,8.2,1.7,-0.1,-1.9,4.7,19.1,7.4,7.3
1827,-5.1,-7,-1.5,4.9,10.9,17.6,15.9,14.6,13.1,6.6,-0.7,1.9,-4,4.7,16,6.3,6
1828,-4.7,-5.2,-1.9,2.6,9,16.2,18.5,16.2,10.5,6.6,1.6,-3.9,-2.6,3.2,17,6.2,5.5
1829,-5,-10.1,-4.8,-1.2,9.1,15.9,17.5,14,11.1,4.4,-3,-5.5,-6.2,1.1,15.8,4.2,3.6
1830,-5.6,-7.2,0.2,3,7.6,13.4,17.9,14.8,10.1,6.3,3,-3,-6.1,3.6,15.4,6.5,5.1
1831,-8.5,-3.8,-4,4,8.5,14.9,18.7,16.2,10.3,8.7,0.8,-0.3,-5.1,2.8,16.6,6.6,5.5
1832,-2.1,-0.9,0.5,4.4,6.2,12.6,13,14.8,9.4,7.7,1.5,0.1,-1.1,3.7,13.5,6.2,5.6
1833,-2.6,-1.8,-2.5,1,11.6,14.8,15.9,12.2,12.1,8.6,2.5,-1.9,-1.5,3.4,14.3,7.7,5.9
1834,-3.7,0.1,0.8,3.7,9.5,14.3,19.9,19.4,11.2,6.4,0.7,-1.1,-1.9,4.7,17.9,6.1,6.8
1835,-1.8,-0.2,-0.3,3.4,6,15.7,16.2,13.4,12.8,7,-0.6,-4.1,-1.1,3,15.1,6.4,5.6
1836,-4.1,-2.8,1.6,3.8,7,13.7,15.1,13.7,8.8,6.5,0.1,-2.9,-3.7,4.2,14.2,5.2,5.1
1837,-5.2,-1.3,-4,0.7,7.6,12.9,14.5,15.8,10.1,6.6,2.4,-1.8,-3.2,1.4,14.4,6.4,4.9
1838,-7.8,-11.7,-4.2,-0.3,7.9,14.9,16.4,14.3,13.1,4.9,0.2,-1,-6.9,1.1,15.2,6,4
1839,-4.1,-3.4,-6.2,0.1,11.2,14.8,18.1,15.4,12.3,7.5,1.3,-3.2,-2.8,1.7,16.1,7,5.4
1840,-3.6,-3,-1.8,5.3,6.7,14.7,15.3,15.5,12.3,4.5,1.7,-3.8,-3.3,3.4,15.2,6.2,5.3
1841,-6.4,-6.3,0,4.2,11.8,14.3,14.6,15.6,11.4,6.1,0.8,1.9,-5.5,5.4,14.8,6.1,5.7
1842,-2.2,0.5,0.2,3.3,11.1,14,14.9,18.8,10.5,5.3,-1,2.3,0,4.9,15.9,4.9,6.5
1843,-0.5,-3.3,-2.1,1.1,6.4,12.9,17.1,18.7,11.8,4,2,1.4,-0.4,1.8,16.3,5.9,5.9
1844,-5,-10.9,-4.6,4.7,9.7,12.7,14.1,14.7,11.7,6.2,0.1,-3.9,-4.7,3.3,13.8,6,4.2
1845,-0.4,-8.9,-5.8,3,7.2,15,17.6,16.1,11.2,4.7,3.1,-1.8,-4.3,1.5,16.3,6.3,5.2
1846,-3.5,-4.5,1.6,3.1,7.4,14.4,18.3,20.9,12.7,10.8,2.9,-6,-3.2,4,17.9,8.8,6.6
1847,-4,-5.7,-1.2,0.1,7.3,14.6,16,17.7,11.6,5,5,0.2,-5.2,2.1,16.1,7.2,5.6
1848,-6.5,-2.5,-0.1,4.1,11.2,15.4,16.9,14.4,11.3,6.6,-0.8,-1.4,-3,5.1,15.6,5.7,5.7
1849,-5.9,-1.8,-1.7,2,9.8,12.9,15.9,15.8,11.3,5,1,-3,-3.1,3.4,14.9,5.8,5.2
1850,-8.6,-1.7,-3.8,2.7,10.7,16.3,17.7,17.4,10.6,4.6,-0.5,0.1,-4.5,3.2,17.2,4.9,5.5
1851,-1.8,-2.2,-3.4,4,7.6,14.3,16.7,15.2,11.5,8.4,2.2,0.4,-1.2,2.7,15.4,7.3,6.1
1852,-1.6,-4.5,-1.3,0.7,10.9,16,19.8,17.9,12.8,3.1,-0.5,-0.3,-1.8,3.5,17.9,5.1,6.1
1853,-0.3,-7.2,-7.4,0.2,10,16.9,18.9,15.3,12.5,7,2.7,-1.9,-2.4,1,17,7.4,5.6
1854,-4.4,-3.5,1.1,4.7,11.1,15.1,19.7,18.6,11.6,7,-0.5,-2.3,-3.2,5.7,17.8,6,6.6
1855,-5.5,-11,-3.4,2.7,8,15.6,21.4,15.6,11.1,8,1.5,-5.4,-6.1,2.5,17.6,6.9,5
1856,-4.1,-5.6,-2.2,4.1,7.1,14.2,16.4,13,11,7.9,-2.8,-2.4,-5,3,14.6,5.4,4.8
1857,-5.9,-0.9,-0.7,2.1,8.7,14,16.9,19.4,13,9.3,2.6,2.7,-3.2,3.4,16.8,8.3,6.8
1858,-1.5,-3,0,3.7,9.6,16.6,19.9,19.1,15.1,7.1,-1.5,-0.7,-0.5,4.5,18.6,6.9,7.1
1859,0.2,0.1,0.7,2.2,9.7,15.8,17,16.9,11.7,5.7,2.1,-3.2,-0.1,4.2,16.6,6.5,6.6
1860,-1.8,-6.2,-2.7,3.4,7.4,14.3,16.4,15.2,11.5,5.4,1,-5.3,-3.7,2.7,15.3,6,4.9
1861,-8.6,-1.3,-0.2,2.2,5.9,15.8,18.1,15.2,10,8.1,0.6,0.1,-5.2,2.6,16.4,6.2,5.5
1862,-7.2,-6.8,-4.4,2.9,10.2,13,14,13.8,11,7.4,2.9,-1.8,-4.6,2.9,13.6,7.1,4.6
1863,0.9,0.9,-0.2,3.8,8.1,14.5,14.3,15,11.8,8.5,3.5,-0.5,-0.1,3.9,14.6,8,6.7
1864,-4.1,-1.6,-1.9,2.3,5.1,14.5,15.9,12,10.7,3.3,-1.1,-0.6,-2.1,1.8,14.1,4.3,4.5
1865,-2.7,-8.8,-4.2,4.3,10.8,10.8,18.7,14,12.4,4.8,3.7,1,-3.9,3.6,14.5,6.9,5.5
1866,1.4,-3,-5.8,3.9,7,15.5,14.4,14.8,13.5,6.2,-1,-2.6,-0.1,1.7,14.9,6.2,5.4
1867,-9.4,-2,-5,0.5,3.4,11.8,14.5,14.8,10.5,7.1,0.1,-7.6,-4.8,-0.4,13.7,5.9,3.2
1868,-5.5,-1.5,0.1,3.4,10.4,15.3,18.5,18.8,11.2,6.6,0.5,-1,-4.9,4.6,17.6,6.1,6.4
1869,-2.1,-0.5,-2.1,5.8,7.4,12.1,16,14.6,11.2,5.5,-0.3,-0.8,-1.2,3.7,14.2,5.4,5.6
1870,-1,-7.1,-2.3,5.5,9,13.8,17,14.6,11.1,4.9,2.5,-7.2,-2.8,4,15.2,6.1,5.1
1871,-5.1,-12.1,1.9,0.7,6.3,11,16.6,15.8,8.9,5.1,-1.3,-2.8,-8,3,14.5,4.2,3.8
1872,0,-1.4,-0.8,4,10.4,15,18.6,15,11.4,8.7,3.6,-1.6,-1.4,4.5,16.2,7.9,6.9
1873,1.9,-2.3,-0.5,2.5,6,15,18.3,15.5,12,6.3,2.2,0.2,-0.6,2.7,16.3,6.9,6.5
1874,1.3,-1.2,-0.4,3.8,6.5,14.1,17,14,11.9,8.9,1.5,-5.4,0.1,3.3,15.1,7.4,6
1875,-9.1,-5.7,-2.8,1.5,10.1,15,17,16,11.4,4.2,-1.4,-4.5,-6.7,2.9,16,4.7,4.4
1876,-3.4,-4.1,-1.9,3.9,5.9,17,17.7,16.3,10.8,5.9,-1.8,-7.3,-4,2.6,17,5,4.9
1877,-4.4,-5.3,-4.7,0,5.9,14.8,16.3,14.3,8.3,5.5,5.1,0.6,-5.7,0.4,15.1,6.3,4.8
1878,-2.6,-0.3,-0.9,5.2,9.1,13.6,14.6,15.6,12.8,8.5,1.8,-2.8,-0.8,4.5,14.6,7.7,6.3
1879,-5.1,-6.7,-2.8,1.3,8.9,14.5,16,16.7,12.8,6,-0.8,-3.4,-4.8,2.5,15.7,6,4.9
1880,-3,-0.6,-0.3,4.3,8.9,14.1,17,18.1,13.7,0.7,0,-4,-2.4,4.3,16.4,4.7,5.7
1881,-7.4,-7.7,-5.9,0.8,8.3,12.9,15.9,13.9,10.9,4.3,2.7,0.8,-6.3,1.1,14.2,6,4.2
1882,1.2,-1,1.5,3.9,9.9,14.3,17,17.4,13.2,7.1,-0.2,-3.8,0.4,5.1,16.3,6.7,6.8
1883,-3.1,-0.9,-4,2.9,9.3,15.2,17,15.1,11.8,6.3,4.2,-1.3,-2.7,2.7,15.8,7.4,6.1
1884,-1.3,-1.1,0.7,2.7,8.1,12.6,16.9,14.6,14,7.3,-0.6,-1.7,-1.2,3.9,14.7,6.9,6.1
1885,-4.1,-1.1,-0.6,4.1,7,13.5,16.9,12.8,10,4.7,0.6,-1.3,-2.3,3.5,14.4,5.1,5.2
1886,-3.1,-3.4,-2.6,4.9,9.4,14.4,16.7,16.5,12.1,6.2,4.6,-2,-2.6,3.9,15.9,7.6,6.2
1887,-0.7,-0.1,0.1,4.4,9.4,13.5,17.2,15.1,12.1,4.2,1.1,-2.5,-1,4.6,15.3,5.7,6.2
1888,-3.3,-7.1,-8.4,0.2,8.2,12.8,15.2,14.5,11.4,4.4,0.2,0.9,-4.2,0,14.2,5.3,4.1
1889,-1.3,-6.7,-3.8,2.7,12.6,17.3,15.6,15.1,10,8,2.8,-1.2,-2.3,3.8,16,6.9,6
1890,0.8,-1.4,0.9,4.2,11.7,14,15.1,15.4,12.4,5,2.1,-2.7,-0.6,5.6,14.8,6.4,6.5
1891,-4.6,0,-1.9,3.1,9.5,13.2,18.2,14.9,11.8,8.8,1.2,0.3,-2.5,3.6,15.4,7.3,6.3
1892,-5.5,-4.4,-1.5,3.4,8.9,13.4,15.2,15.3,12.3,5.9,3,-4.3,-3.2,3.6,14.7,7.1,5.2
1893,-7.4,-10.5,0,4.5,7.8,14.4,17.1,15.5,10.1,7.3,0.8,0.5,-7.3,4.1,15.7,6.1,5.1
1894,-0.8,-0.2,3.3,6.4,9.7,14.1,17.5,15.6,9.4,4.7,4.4,0.7,-0.2,6.5,15.7,6.1,7.1
1895,-5.4,-7.7,-2.3,4.5,12.4,16.4,16,15.8,11.9,6,2.4,-1.3,-4,4.9,16.1,6.7,5.8
1896,-2,-0.3,0.6,4,9,17.9,19.3,14.8,11.8,7.7,0.8,-1.5,-1.2,4.5,17.3,6.8,6.9
1897,-4.7,-3.7,-1.3,4.2,11,15.6,17.7,17.6,11.6,6.6,1.8,0.7,-3.3,4.6,17,6.7,6.5
1898,1.4,-1.7,-0.8,2.4,9.4,14.4,15.3,15.3,11.7,6.2,3.8,0.4,0.2,3.7,15,7.2,6.5
1899,-3.6,-2,-3,3.8,7.8,11.8,19.6,14.5,11.6,6.6,3.9,-2.1,-1.7,2.8,15.3,7.4,5.8
1900,-2.7,-7.1,-2.4,3.2,7.6,15.3,17.1,16.6,11.5,7,2.8,-0.8,-3.9,2.8,16.3,7.1,5.8
1901,-3.1,-6.2,-1.5,4.5,10.8,15.8,21.2,18.1,13,10,-0.9,-3.3,-3.3,4.6,18.4,7.4,6.6
1902,-1.1,-4.5,-2.3,0.9,6.5,12,13.7,13.4,9.7,4.8,1.4,-4.1,-2.9,1.7,13.1,5.3,4.3
1903,-3.1,1,3.9,3.2,9.9,14.1,16.5,14.4,12.3,4.8,0.5,-0.3,-2.2,5.7,15,5.8,6.5
1904,-0.1,-4.6,-1.8,4,7.6,12.7,15.8,14.8,11.4,6.5,0,-2,-1.6,3.3,14.4,6,5.4
1905,-3.1,-1.2,0.5,2,10.1,17,16.9,14.6,11.2,3.9,1.8,0.2,-2.1,4.2,16.2,5.6,6.2
1906,-0.7,-0.9,-1.7,5.4,11.1,14.5,17.5,14.8,10.8,6.8,3.9,-2.3,-0.5,4.9,15.6,7.2,6.6
1907,-3.7,-2.7,0.4,2.5,7.7,13.1,14.9,12.9,10.8,10,3.3,-3.2,-2.9,3.6,13.6,8,5.5
1908,-2,-1.3,-1.8,2.8,8.2,13.8,16.1,15.6,10.7,8,-0.5,-0.7,-2.2,3.1,15.2,6.1,5.8
1909,-1.2,-4.9,-2,1.5,5.7,13.5,15.4,15.2,10.9,9.8,-1.6,-0.8,-2.2,1.7,14.7,6.4,5.2
1910,-1.5,0.1,1.6,4.9,10.1,15.2,15.1,14.4,11.7,7,1.5,0.4,-0.8,5.6,14.9,6.7,6.7
1911,-1.1,-1.8,0.5,4.3,11,13.2,16.2,17.7,12.2,5.5,3.4,1.5,-0.8,5.3,15.7,7,6.9
1912,-5,-4,1.5,3.5,7.6,14.1,18.4,15.9,9,4.8,1.3,1.9,-2.5,4.2,16.2,5,5.8
1913,-2.9,-0.2,2.1,4.9,10,13.8,16.4,15.3,11.5,6.9,4.6,-1.9,-0.4,5.7,15.2,7.7,6.7
1914,-3.3,1.7,-0.4,6.7,9.5,14.7,21,15.6,11.7,5.8,1.5,2.3,-1.3,5.2,17.2,6.3,7.3
1915,-4.3,-1.9,-3.7,4.1,7.8,12.9,16.1,15.1,10,4.1,0.3,-6.9,-1.3,2.7,14.8,4.8,4.5
1916,-1.6,-2.1,-2.5,5.1,8.4,12,16.8,13.1,9.8,5.2,4.4,-0.5,-3.5,3.7,14,6.5,5.7
1917,-7.7,-4.9,-5.7,0.9,9.1,18.1,16.2,17.3,12.2,7.3,2.5,-2.3,-4.4,1.4,17.2,7.3,5.3
1918,-5.3,-1.8,0.2,4,10.1,12.4,17.1,15.4,10.6,7.8,3.7,-1,-3.2,4.8,15,7.4,6.1
1919,-1.1,-4.3,-1.9,3.4,10.3,13.8,17.8,13.8,12.4,5.2,-1.8,-3.2,-2.1,3.9,15.1,5.2,5.4
1920,-2.9,0.6,3.3,5.2,10.8,13.5,17,14.7,11.7,5.8,3.3,-0.7,-1.9,6.4,15.1,6.9,6.9
1921,-1.4,-1.6,3.8,7,12.9,13.7,15.1,15.3,10.9,7.1,-0.7,-0.9,-1.2,7.9,14.7,5.8,6.8
1922,-5.3,-4.1,-1.1,2,10.2,14.5,15.7,14.3,10.5,4.3,0.6,-0.4,-3.4,3.7,14.9,5.1,5.2
1923,-0.3,-5.3,-0.1,2.2,8,10.4,17.1,13.8,10.7,7.1,0.8,-3.7,-1.9,3.4,13.8,6.2,5.1
1924,-3.6,-6.5,-3.5,1.5,9.3,13.1,16.6,16.6,12.8,8.1,3,2.6,-4.6,2.5,15.5,7.9,5.9
1925,0.9,0.9,-2.3,6,10.1,14.4,19.3,16.1,11.1,4.3,-1.5,-4.2,1.5,4.6,16.6,4.6,6.3
1926,-3.4,-4.6,0.1,3.7,8.6,14.1,18.7,15.8,11.4,4,3.6,-2.7,-4,4.1,16.2,6.3,5.8
1927,-1.3,-1.7,1.9,3,6.2,12.8,19.2,17.3,11.6,5.5,-0.4,-5.3,-1.9,3.7,16.5,5.5,5.8
1928,-2.7,-2.1,-1.5,3.9,8.5,10.8,14.9,14,10.9,6.7,3.2,-1,-3.4,3.6,13.3,6.9,5.5
1929,-4.1,-8.7,0.7,1,9.6,12.7,15.7,14.7,11.7,7.5,4.1,3.2,-4.4,3.8,14.4,7.7,5.8
1930,2.1,-1.5,1.1,5.5,11,16.1,18.2,16.3,10,7.9,2.8,1.1,1.4,5.9,16.9,6.9,7.6
1931,-3.1,-3.3,-3.8,1.8,10.1,12.5,16.2,15.3,8.4,5.6,3.9,-1.5,-1.7,2.7,14.7,6,5.2
1932,1.4,-2.4,-2.1,3.7,9.5,12.5,18.9,16.3,11.8,5.2,2.7,2.6,-0.8,3.7,15.9,6.6,6.7
1933,-1.9,-3.1,1.4,3.6,8.3,15.3,18.6,16.1,12,7.8,1.3,-2.8,-0.7,4.4,16.7,7.1,6.5
1934,0.5,0.6,0.7,5.7,12,15.1,16.6,17.1,14.9,8.5,3.6,2.9,-0.6,6.1,16.3,9,8.2
1935,-2,-0.7,0.1,4.8,8,16.1,17.5,15.6,11.4,7.5,4.8,0.5,0.1,4.3,16.4,7.9,7
1936,-1.1,-4.6,0.9,3.7,10.1,18.1,19,16.5,11,4.6,3.8,3,-1.6,4.9,17.9,6.4,7.1
