year,temp
1901,8.59
1902,8.39
1903,7.95
1904,8.09
1905,8.4
1906,8.44
1907,8.32
1908,8.62
1909,8.08
1910,8.67
1911,8.6
1912,8.07
1913,8.49
1914,8.83
1915,8.61
1916,8.05
1917,7.62
1918,8.43
1919,8.4
1920,8
1921,9.44
1922,8.62
1923,8.64
1924,7.89
1925,8.89
1926,9.02
1927,8.57
1928,8.73
1929,8.34
1930,8.61
1931,9.45
1932,8.4
1933,8.96
1934,9.73
1935,8.64
1936,8.88
1937,8.65
1938,9.37
1939,9.24
1940,8.95
1941,9.2
1942,8.8
1943,8.88
1944,8.75
1945,8.57
1946,9.04
1947,8.73
1948,8.32
1949,8.78
1950,8.47
1951,8.25
1952,8.82
1953,9.4
1954,9.23
1955,8.38
1956,8.53
1957,8.96
1958,8.85
1959,8.67
1960,8.52
1961,8.45
1962,8.74
1963,8.9
1964,8.3
1965,8.46
1966,8.27
1967,8.69
1968,8.33
1969,8.57
1970,8.53
1971,8.29
1972,8.19
1973,8.75
1974,8.67
1975,8.25
1976,8.4
1977,9.08
1978,8.56
1979,8.39
1980,8.92
1981,9.51
1982,8.32
1983,8.71
1984,8.6
1985,8.38
1986,9.37
1987,9.44
1988,9.06
1989,8.65
1990,9.36
1991,9.34
1992,8.89
1993,8.71
1994,9.23
1995,9.24
1996,8.58
1997,8.74
1998,9.8
1999,9.22
2000,9.2
2001,9.42
2002,9.44
2003,9.42
2004,9.38
2005,9.65
2006,9.81
2007,9.62
2008,8.78
2009,8.92
2010,9.34
2011,9.36
2012,10.06
2013,9.07
2014,9.42
2015,10.21
2016,10.62
2017,10.21
2018,9.87
2019,9.72
2020,10
2021,10
